building_name,full_timestamp,region,region_id,usage_kwh_norm_orig,usage_pb,apparent_temperature_norm,temp_lag_1h,temp_lag_24h,precipitation,is_day,is_holiday,is_weekend,hour,day_of_week,month,season,lag_1h,lag_24h,rollmean_24h,y_next,usage_kwh_norm,building_id,DateTime,hour_sin,hour_cos,usage_kwh_normalised,normalized_temperature,target_next_hour
Aberdeen 33_11kV,2007-01-02 00:00:00,NSW,1,0.0583827,0.24504147,0.46743295,0.48467433,0.5114943,0.0,0,0,0,0,1,1,Summer,0.2743584,0.22698028,0.28418964,0.24090591,0.0583827,,,,,,,
Aberdeen 33_11kV,2007-01-02 01:00:00,NSW,1,0.058370266,0.24090591,0.46168584,0.46743295,0.5019157,0.0,0,0,0,1,1,1,Summer,0.24504147,0.20983714,0.28494218,0.22726895,0.058370266,,,,,,,
Aberdeen 33_11kV,2007-01-02 02:00:00,NSW,1,0.05832926,0.22726895,0.46360153,0.46168584,0.49233717,0.0,0,0,0,2,1,1,Summer,0.24090591,0.1945363,0.28623673,0.21744668,0.05832926,,,,,,,
Aberdeen 33_11kV,2007-01-02 03:00:00,NSW,1,0.058299728,0.21744668,0.47126436,0.46360153,0.49233717,0.0,0,0,0,3,1,1,Summer,0.22726895,0.20404264,0.28760058,0.21431093,0.058299728,,,,,,,
Aberdeen 33_11kV,2007-01-02 04:00:00,NSW,1,0.0582903,0.21431093,0.46743295,0.47126436,0.49233717,0.0,0,0,0,4,1,1,Summer,0.21744668,0.1991154,0.28815907,0.19948336,0.0582903,,,,,,,
Aberdeen 33_11kV,2007-01-02 05:00:00,NSW,1,0.058245715,0.19948336,0.46168584,0.46743295,0.4827586,0.0,0,0,0,5,1,1,Summer,0.21431093,0.18911348,0.28879222,0.21982667,0.058245715,,,,,,,
Aberdeen 33_11kV,2007-01-02 06:00:00,NSW,1,0.058306884,0.21982667,0.44252872,0.46168584,0.47126436,0.0,0,0,0,6,1,1,Summer,0.19948336,0.18709402,0.2892243,0.2722299,0.058306884,,,,,,,
Aberdeen 33_11kV,2007-01-02 07:00:00,NSW,1,0.058464453,0.2722299,0.45402297,0.44252872,0.47509578,0.0,1,0,0,7,1,1,Summer,0.21982667,0.20648706,0.29058817,0.3194048,0.058464453,,,,,,,
Aberdeen 33_11kV,2007-01-02 08:00:00,NSW,1,0.0586063,0.3194048,0.4827586,0.45402297,0.49616858,0.0,1,0,0,8,1,1,Summer,0.2722299,0.2507988,0.29332745,0.37260592,0.0586063,,,,,,,
Aberdeen 33_11kV,2007-01-02 09:00:00,NSW,1,0.05876627,0.37260592,0.50766283,0.4827586,0.5249042,0.0,1,0,0,9,1,1,Summer,0.3194048,0.29061568,0.29618603,0.38107774,0.05876627,,,,,,,
Aberdeen 33_11kV,2007-01-02 10:00:00,NSW,1,0.05879174,0.38107774,0.5421456,0.50766283,0.5574713,0.1,1,0,0,10,1,1,Summer,0.37260592,0.32585594,0.2996023,0.3698778,0.05879174,,,,,,,
Aberdeen 33_11kV,2007-01-02 11:00:00,NSW,1,0.058758065,0.3698778,0.5344828,0.5421456,0.6034483,0.5,1,0,0,11,1,1,Summer,0.38107774,0.34909216,0.30190322,0.3841887,0.058758065,,,,,,,
Aberdeen 33_11kV,2007-01-02 12:00:00,NSW,1,0.058801096,0.3841887,0.53065133,0.5344828,0.64942527,1.1,1,0,0,12,1,1,Summer,0.3698778,0.34155077,0.30276927,0.40310353,0.058801096,,,,,,,
Aberdeen 33_11kV,2007-01-02 13:00:00,NSW,1,0.05885797,0.40310353,0.54022986,0.53065133,0.66475093,1.8,1,0,0,13,1,1,Summer,0.3841887,0.34250352,0.30454585,0.42285338,0.05885797,,,,,,,
Aberdeen 33_11kV,2007-01-02 14:00:00,NSW,1,0.058917355,0.42285338,0.54022986,0.54022986,0.6532567,1.2,1,0,0,14,1,1,Summer,0.40310353,0.3378414,0.30707085,0.39848354,0.058917355,,,,,,,
Aberdeen 33_11kV,2007-01-02 15:00:00,NSW,1,0.05884408,0.39848354,0.5555556,0.54022986,0.6340996,0.4,1,0,0,15,1,1,Summer,0.42285338,0.3283784,0.31061304,0.39503682,0.05884408,,,,,,,
Aberdeen 33_11kV,2007-01-02 16:00:00,NSW,1,0.058833715,0.39503682,0.5670498,0.5555556,0.6245211,0.2,1,0,0,16,1,1,Summer,0.39848354,0.3045438,0.31353408,0.40840122,0.058833715,,,,,,,
Aberdeen 33_11kV,2007-01-02 17:00:00,NSW,1,0.0588739,0.40840122,0.57471263,0.5670498,0.6475096,0.0,1,0,0,17,1,1,Summer,0.39503682,0.3087946,0.3173046,0.41321075,0.0588739,,,,,,,
Aberdeen 33_11kV,2007-01-02 18:00:00,NSW,1,0.05888836,0.41321075,0.59386975,0.57471263,0.6532567,0.0,1,0,0,18,1,1,Summer,0.40840122,0.32722002,0.32145488,0.422504,0.05888836,,,,,,,
Aberdeen 33_11kV,2007-01-02 19:00:00,NSW,1,0.058916304,0.422504,0.59195405,0.59386975,0.62835246,0.0,1,0,0,19,1,1,Summer,0.41321075,0.37536255,0.32503784,0.41522774,0.058916304,,,,,,,
