feature,mean_abs_shap
lag_1h,0.08621163733899631
lag_24h,0.02806368642233157
rollmean_24h,0.014773164798263346
month,0.012180301152797501
lag_168h,0.009452661320331837
hour,0.0054960082913587185
temp_z,0.004537379925826698
apparent_temperature_norm,0.004393570639634243
temp_z_lag_1h,0.0035503502418560836
temp_lag_24h,0.0014074395321420617
day_of_week,0.000212490161206736
temp_lag_1h,6.826499398464173e-05
temp_z_lag_24h,4.73735756964344e-05
precipitation,0.0
is_day,0.0
is_weekend,0.0
is_holiday,0.0
region_id,0.0
